PassengerId,Parch,Ticket,Fare,Cabin,Embarked
709,0,113781,151.55,,S
710,1,2661,15.2458,,C
711,0,PC 17482,49.5042,C90,C
712,0,113028,26.55,C124,S
713,0,19996,52,C126,S
714,0,7545,9.4833,,S
715,0,250647,13,,S
716,0,348124,7.65,F G73,S
717,0,PC 17757,227.525,C45,C
718,0,34218,10.5,E101,S
719,0,36568,15.5,,Q
720,0,347062,7.775,,S
721,1,248727,33,,S
722,0,350048,7.0542,,S
723,0,12233,13,,S
724,0,250643,13,,S
725,0,113806,53.1,E8,S
726,0,315094,8.6625,,S
727,0,31027,21,,S
728,0,36866,7.7375,,Q
729,0,236853,26,,S
730,0,STON/O2. 3101271,7.925,,S
731,0,24160,211.3375,B5,S
732,0,2699,18.7875,,C
733,0,239855,0,,S
734,0,28425,13,,S
735,0,233639,13,,S
736,0,54636,16.1,,S
737,3,W./C. 6608,34.375,,S
738,0,PC 17755,512.3292,B101,C
739,0,349201,7.8958,,S
740,0,349218,7.8958,,S
741,0,16988,30,D45,S
742,0,19877,78.85,C46,S
743,2,PC 17608,262.375,B57 B59 B63 B66,C
744,0,376566,16.1,,S
745,0,STON/O 2. 3101288,7.925,,S
746,1,WE/P 5735,71,B22,S
747,1,C.A. 2673,20.25,,S
748,0,250648,13,,S
749,0,113773,53.1,D30,S
750,0,335097,7.75,,Q
751,1,29103,23,,S
752,1,392096,12.475,E121,S
753,0,345780,9.5,,S
754,0,349204,7.8958,,S
755,2,220845,65,,S
756,1,250649,14.5,,S
757,0,350042,7.7958,,S
758,0,29108,11.5,,S
759,0,363294,8.05,,S
760,0,110152,86.5,B77,S
761,0,358585,14.5,,S
762,0,SOTON/O2 3101272,7.125,,S
763,0,2663,7.2292,,C
764,2,113760,120,B96 B98,S
765,0,347074,7.775,,S
766,0,13502,77.9583,D11,S
767,0,112379,39.6,,C
768,0,364850,7.75,,Q
769,0,371110,24.15,,Q
770,0,8471,8.3625,,S
771,0,345781,9.5,,S
772,0,350047,7.8542,,S
773,0,S.O./P.P. 3,10.5,E77,S
774,0,2674,7.225,,C
775,3,29105,23,,S
776,0,347078,7.75,,S
777,0,383121,,F38,Q
778,0,364516,12.475,,S
779,0,36865,7.7375,,Q
780,1,24160,211.3375,B3,S
781,0,2687,7.2292,,C
782,0,17474,57,B20,S
783,0,113501,30,D6,S
784,2,W./C. 6607,23.45,,S
785,0,SOTON/O.Q. 3101312,7.05,,S
786,0,374887,7.25,,S
787,0,3101265,7.4958,,S
788,1,382652,29.125,,Q
789,2,C.A. 2315,20.575,,S
790,0,PC 17593,79.2,B82 B84,C
791,0,12460,7.75,,Q
792,0,239865,26,,S
793,2,CA. 2343,69.55,,S
794,0,PC 17600,30.6958,,C
795,0,349203,7.8958,,S
796,0,28213,13,,S
797,0,17465,25.9292,D17,S
798,0,349244,8.6833,,S
799,0,2685,7.2292,,C
800,1,345773,24.15,,S
801,0,250647,13,,S
802,1,C.A. 31921,26.25,,S
803,2,113760,120,B96 B98,S
804,1,2625,8.5167,,C
805,0,347089,6.975,,S
806,0,347063,7.775,,S
807,0,112050,0,A36,S
808,0,347087,7.775,,S
809,0,248723,13,,S
810,0,113806,53.1,E8,S
811,0,3474,7.8875,,S
812,0,A/4 48871,24.15,,S
813,0,28206,10.5,,S
814,2,347082,31.275,,S
815,0,364499,8.05,,S
816,0,112058,0,B102,S
817,0,STON/O2. 3101290,7.925,,S
818,1,S.C./PARIS 2079,37.0042,,C
819,0,C 7075,6.45,,S
820,2,347088,27.9,,S
821,1,12749,93.5,B69,S
822,0,315098,8.6625,,S
823,0,19972,0,,S
824,1,392096,12.475,E121,S
825,1,3101295,39.6875,,S
826,0,368323,6.95,,Q
827,0,1601,56.4958,,S
828,2,S.C./PARIS 2079,37.0042,,C
829,0,367228,7.75,,Q
830,0,113572,80,B28,
831,0,2659,14.4542,,C
832,1,29106,18.75,,S
833,0,2671,7.2292,,C
834,0,347468,7.8542,,S
835,0,2223,8.3,,S
836,1,PC 17756,83.1583,E49,C
837,0,315097,8.6625,,S
838,0,392092,8.05,,S
839,0,1601,56.4958,,S
840,0,11774,29.7,C47,C
841,0,SOTON/O2 3101287,7.925,,S
842,0,S.O./P.P. 3,10.5,,S
843,0,113798,31,,C
844,0,2683,6.4375,,C
845,0,315090,8.6625,,S
846,0,C.A. 5547,7.55,,S
847,2,CA. 2343,69.55,,S
848,0,349213,7.8958,,C
849,1,248727,33,,S
850,0,17453,89.1042,C92,C
851,2,347082,31.275,,S
852,0,347060,7.775,,S
853,1,2678,15.2458,,C
854,1,PC 17592,39.4,D28,S
855,0,244252,26,,S
856,1,392091,9.35,,S
857,1,36928,164.8667,,S
858,0,113055,26.55,E17,S
859,3,2666,19.2583,,C
860,0,2629,7.2292,,C
861,0,350026,14.1083,,S
862,0,28134,11.5,,S
863,0,17466,25.9292,D17,S
864,2,CA. 2343,69.55,,S
865,0,233866,13,,S
866,0,236852,13,,S
867,0,SC/PARIS 2149,13.8583,,C
868,0,PC 17590,50.4958,A24,S
869,0,345777,9.5,,S
870,1,347742,11.1333,,S
871,0,349248,7.8958,,S
872,1,11751,52.5542,D35,S
873,0,695,5,B51 B53 B55,S
874,0,345765,9,,S
875,0,P/PP 3381,24,,C
876,0,2667,,,C
877,0,7534,9.8458,,S
878,0,349212,7.8958,,S
879,0,349217,7.8958,,S
880,1,11767,83.1583,C50,C
881,1,230433,26,,S
882,0,349257,7.8958,,S
883,0,7552,10.5167,,S
884,0,C.A./SOTON 34068,10.5,,S
885,0,SOTON/OQ 392076,7.05,,S
886,5,382652,29.125,,Q
887,0,211536,13,,S
888,0,112053,30,B42,S
889,2,W./C. 6607,,,S
890,0,111369,30,C148,C
891,0,370376,7.75,,Q
